bairro,area_m2,quartos,banheiros,vagas,andar,idade_anos,preco
Ipanema,89,2,2,0,22,13.0,1917115.91
Laranjeiras,36,2,3,2,18,20.0,295922.98
Centro,228,3,4,0,10,51.0,839343.42
Recreio,246,4,6,2,2,6.0,2385486.63
Recreio,276,2,3,2,3,6.0,2623222.81
Vila Isabel,333,4,4,0,6,18.0,2070553.17
Ipanema,186,4,5,1,10,36.0,2722408.7
Flamengo,294,1,2,0,22,48.0,1935556.18
Botafogo,257,5,6,2,2,33.0,2694352.42
Ipanema,115,1,2,1,14,29.0,2230674.14
Jacarepagua,299,4,5,1,8,52.0,1240022.79
Santa Teresa,42,3,5,0,1,10.0,284100.16
Laranjeiras,219,4,5,1,15,54.0,1936609.5
Laranjeiras,330,4,6,1,17,18.0,2797323.72
Flamengo,239,4,6,0,23,16.0,3105910.15
Laranjeiras,329,4,6,3,12,57.0,2330067.91
Jacarepagua,43,5,6,1,8,38.0,204736.95
Ipanema,198,4,5,0,21,25.0,3469258.44
Vila Isabel,278,5,5,2,6,,1586708.96
Recreio,233,3,4,1,17,26.0,2185309.9
Jacarepagua,311,2,2,1,23,47.0,1803136.49
Barra da Tijuca,175,2,3,2,0,9.0,2527232.04
Leblon,246,4,6,0,23,10.0,5891329.37
Grajau,161,3,4,2,5,18.0,979250.64
Laranjeiras,308,1,1,0,12,28.0,2663715.08
Centro,63,2,2,0,6,,277003.95
Recreio,107,5,6,0,3,12.0,1058650.69
Vila Isabel,56,4,6,0,17,47.0,347551.51
Meier,253,4,5,1,12,54.0,1061960.68
Recreio,100,1,3,3,12,26.0,674934.61
Recreio,128,1,3,3,12,57.0,1015180.55
Botafogo,296,2,3,0,18,53.0,2662026.4
Ipanema,142,5,5,3,24,47.0,2147221.16
Meier,72,3,5,2,12,22.0,460425.78
Grajau,31,4,5,2,3,18.0,185100.54
Copacabana,98,3,5,3,8,,867575.56
Vila Isabel,322,3,5,1,12,26.0,1863354.19
Vila Isabel,203,4,5,1,2,1.0,1064159.69
Tijuca,348,5,6,2,5,43.0,2199531.26
Centro,94,3,3,2,5,20.0,460793.95
Leblon,139,3,5,2,24,56.0,2254863.7
Laranjeiras,78,5,5,0,10,51.0,518398.64
Flamengo,154,2,3,3,21,6.0,1505291.97
Barra da Tijuca,208,5,6,1,13,54.0,1837686.78
Ipanema,287,3,3,3,12,56.0,4088894.57
Santa Teresa,144,5,6,1,23,45.0,972238.71
Recreio,275,3,5,0,17,16.0,2350095.05
Grajau,228,4,4,3,5,40.0,1770787.43
Flamengo,119,2,2,2,7,52.0,890153.74
Laranjeiras,321,4,4,0,16,48.0,2730159.87
Laranjeiras,166,2,2,0,0,25.0,1528642.69
Leblon,74,4,4,0,3,42.0,1293103.73
Barra da Tijuca,337,4,5,0,1,,4056602.59
Jacarepagua,321,3,5,3,17,,1938983.13
Jacarepagua,41,3,5,0,11,40.0,213932.4
Copacabana,318,2,4,0,0,27.0,3010440.29
Meier,332,4,6,3,18,13.0,1723011.19
Leblon,294,3,4,3,16,39.0,5637552.98
Laranjeiras,107,3,5,0,17,19.0,702895.29
Flamengo,230,1,1,2,4,,2369786.11
Grajau,199,1,3,2,21,21.0,1824175.55
Laranjeiras,226,1,1,2,4,53.0,1650735.42
Barra da Tijuca,225,5,6,1,14,51.0,2564411.3
Santa Teresa,232,5,5,3,13,28.0,1975565.58
Recreio,192,1,1,3,5,42.0,1058926.96
Tijuca,249,1,2,2,9,10.0,2112109.24
Grajau,196,4,6,3,1,59.0,909915.22
Barra da Tijuca,30,3,3,0,11,12.0,519658.11
Ipanema,36,2,2,2,16,52.0,503257.17
Jacarepagua,336,4,5,3,7,50.0,1778104.88
Laranjeiras,320,2,4,2,13,10.0,2993407.77
Leblon,215,1,3,3,23,0.0,7011737.16
Recreio,81,2,3,1,5,44.0,508151.83
Ipanema,278,5,6,3,7,52.0,4502355.13
Flamengo,71,4,5,3,2,42.0,619761.8
Jacarepagua,147,1,3,2,13,3.0,981352.62
Tijuca,132,3,3,2,5,38.0,850182.31
Botafogo,29,5,5,2,21,23.0,280746.08
Meier,287,5,5,1,7,54.0,730002.22
Flamengo,190,4,4,2,16,48.0,1810850.4
Santa Teresa,127,1,2,3,4,,734653.17
Recreio,189,2,4,0,8,24.0,1728212.79
Leblon,25,2,3,0,4,19.0,534488.81
Vila Isabel,167,1,2,1,13,49.0,1029965.25
Centro,193,1,1,1,0,6.0,1258370.07
Flamengo,135,2,3,2,2,6.0,833625.97
